[21:05:52] Порт №84: Open | Деталі: On
Запис #60: Перевірка цілісності даних порту... OK
Запис #61: Перевірка цілісності даних порту... OK
Запис #62: Перевірка цілісності даних порту... OK
Запис #63: Перевірка цілісності даних порту... OK
Запис #64: Перевірка цілісності даних порту... OK
Запис #65: Перевірка цілісності даних порту... OK
Запис #66: Перевірка цілісності даних порту... OK
Запис #67: Перевірка цілісності даних порту... OK
Запис #68: Перевірка цілісності даних порту... OK
Запис #69: Перевірка цілісності даних порту... OK
Запис #70: Перевірка цілісності даних порту... OK
Запис #71: Перевірка цілісності даних порту... OK
Запис #72: Перевірка цілісності даних порту... OK
Запис #73: Перевірка цілісності даних порту... OK
Запис #74: Перевірка цілісності даних порту... OK
Запис #75: Перевірка цілісності даних порту... OK
Запис #76: Перевірка цілісності даних порту... OK
Запис #77: Перевірка цілісності даних порту... OK
Запис #78: Перевірка цілісності даних порту... OK
Запис #79: Перевірка цілісності даних порту... OK
Запис #80: Перевірка цілісності даних порту... OK
Запис #81: Перевірка цілісності даних порту... OK
Запис #82: Перевірка цілісності даних порту... OK
Запис #83: Перевірка цілісності даних порту... OK
Запис #84: Перевірка цілісності даних порту... OK
Запис #85: Перевірка цілісності даних порту... OK
Запис #86: Перевірка цілісності даних порту... OK
Запис #87: Перевірка цілісності даних порту... OK
Запис #88: Перевірка цілісності даних порту... OK
Запис #89: Перевірка цілісності даних порту... OK
Запис #90: Перевірка цілісності даних порту... OK
Запис #91: Перевірка цілісності даних порту... OK
Запис #92: Перевірка цілісності даних порту... OK
Запис #93: Перевірка цілісності даних порту... OK
Запис #94: Перевірка цілісності даних порту... OK
Запис #95: Перевірка цілісності даних порту... OK
Запис #96: Перевірка цілісності даних порту... OK
Запис #97: Перевірка цілісності даних порту... OK
Запис #98: Перевірка цілісності даних порту... OK
Запис #99: Перевірка цілісності даних порту... OK
Запис #100: Перевірка цілісності даних порту... OK
Запис #101: Перевірка цілісності даних порту... OK
Запис #102: Перевірка цілісності даних порту... OK
Запис #103: Перевірка цілісності даних порту... OK
Запис #104: Перевірка цілісності даних порту... OK
Запис #105: Перевірка цілісності даних порту... OK
Запис #106: Перевірка цілісності даних порту... OK
Запис #107: Перевірка цілісності даних порту... OK
Запис #108: Перевірка цілісності даних порту... OK
Запис #109: Перевірка цілісності даних порту... OK
Запис #110: Перевірка цілісності даних порту... OK
[21:11:04] Порт №1: LAB_SIM | Деталі: Студент прсор виконав роботу.
--- ГЕНЕРАЦІЯ ВЕЛИКОГО ЗВІТУ ---
Запис #1: Перевірка цілісності даних порту... OK
Запис #2: Перевірка цілісності даних порту... OK
Запис #3: Перевірка цілісності даних порту... OK
Запис #4: Перевірка цілісності даних порту... OK
Запис #5: Перевірка цілісності даних порту... OK
Запис #6: Перевірка цілісності даних порту... OK
Запис #7: Перевірка цілісності даних порту... OK
Запис #8: Перевірка цілісності даних порту... OK
Запис #9: Перевірка цілісності даних порту... OK
Запис #10: Перевірка цілісності даних порту... OK
Запис #11: Перевірка цілісності даних порту... OK
Запис #12: Перевірка цілісності даних порту... OK
Запис #13: Перевірка цілісності даних порту... OK
Запис #14: Перевірка цілісності даних порту... OK
Запис #15: Перевірка цілісності даних порту... OK
Запис #16: Перевірка цілісності даних порту... OK
Запис #17: Перевірка цілісності даних порту... OK
Запис #18: Перевірка цілісності даних порту... OK
Запис #19: Перевірка цілісності даних порту... OK
Запис #20: Перевірка цілісності даних порту... OK
Запис #21: Перевірка цілісності даних порту... OK
Запис #22: Перевірка цілісності даних порту... OK
Запис #23: Перевірка цілісності даних порту... OK
Запис #24: Перевірка цілісності даних порту... OK
Запис #25: Перевірка цілісності даних порту... OK
Запис #26: Перевірка цілісності даних порту... OK
Запис #27: Перевірка цілісності даних порту... OK
Запис #28: Перевірка цілісності даних порту... OK
Запис #29: Перевірка цілісності даних порту... OK
Запис #30: Перевірка цілісності даних порту... OK
Запис #31: Перевірка цілісності даних порту... OK
Запис #32: Перевірка цілісності даних порту... OK
Запис #33: Перевірка цілісності даних порту... OK
Запис #34: Перевірка цілісності даних порту... OK
Запис #35: Перевірка цілісності даних порту... OK
Запис #36: Перевірка цілісності даних порту... OK
Запис #37: Перевірка цілісності даних порту... OK
Запис #38: Перевірка цілісності даних порту... OK
Запис #39: Перевірка цілісності даних порту... OK
Запис #40: Перевірка цілісності даних порту... OK
Запис #41: Перевірка цілісності даних порту... OK
Запис #42: Перевірка цілісності даних порту... OK
Запис #43: Перевірка цілісності даних порту... OK
Запис #44: Перевірка цілісності даних порту... OK
Запис #45: Перевірка цілісності даних порту... OK
Запис #46: Перевірка цілісності даних порту... OK
Запис #47: Перевірка цілісності даних порту... OK
Запис #48: Перевірка цілісності даних порту... OK
Запис #49: Перевірка цілісності даних порту... OK
Запис #50: Перевірка цілісності даних порту... OK
Запис #51: Перевірка цілісності даних порту... OK
Запис #52: Перевірка цілісності даних порту... OK
Запис #53: Перевірка цілісності даних порту... OK
Запис #54: Перевірка цілісності даних порту... OK
Запис #55: Перевірка цілісності даних порту... OK
Запис #56: Перевірка цілісності даних порту... OK
Запис #57: Перевірка цілісності даних порту... OK
Запис #58: Перевірка цілісності даних порту... OK
Запис #59: Перевірка цілісності даних порту... OK
Запис #60: Перевірка цілісності даних порту... OK
Запис #61: Перевірка цілісності даних порту... OK
Запис #62: Перевірка цілісності даних порту... OK
Запис #63: Перевірка цілісності даних порту... OK
Запис #64: Перевірка цілісності даних порту... OK
Запис #65: Перевірка цілісності даних порту... OK
Запис #66: Перевірка цілісності даних порту... OK
Запис #67: Перевірка цілісності даних порту... OK
Запис #68: Перевірка цілісності даних порту... OK
Запис #69: Перевірка цілісності даних порту... OK
Запис #70: Перевірка цілісності даних порту... OK
Запис #71: Перевірка цілісності даних порту... OK
Запис #72: Перевірка цілісності даних порту... OK
Запис #73: Перевірка цілісності даних порту... OK
Запис #74: Перевірка цілісності даних порту... OK
Запис #75: Перевірка цілісності даних порту... OK
Запис #76: Перевірка цілісності даних порту... OK
Запис #77: Перевірка цілісності даних порту... OK
Запис #78: Перевірка цілісності даних порту... OK
Запис #79: Перевірка цілісності даних порту... OK
Запис #80: Перевірка цілісності даних порту... OK
Запис #81: Перевірка цілісності даних порту... OK
Запис #82: Перевірка цілісності даних порту... OK
Запис #83: Перевірка цілісності даних порту... OK
Запис #84: Перевірка цілісності даних порту... OK
Запис #85: Перевірка цілісності даних порту... OK
Запис #86: Перевірка цілісності даних порту... OK
Запис #87: Перевірка цілісності даних порту... OK
Запис #88: Перевірка цілісності даних порту... OK
Запис #89: Перевірка цілісності даних порту... OK
Запис #90: Перевірка цілісності даних порту... OK
Запис #91: Перевірка цілісності даних порту... OK
Запис #92: Перевірка цілісності даних порту... OK
Запис #93: Перевірка цілісності даних порту... OK
Запис #94: Перевірка цілісності даних порту... OK
Запис #95: Перевірка цілісності даних порту... OK
Запис #96: Перевірка цілісності даних порту... OK
Запис #97: Перевірка цілісності даних порту... OK
Запис #98: Перевірка цілісності даних порту... OK
Запис #99: Перевірка цілісності даних порту... OK
Запис #100: Перевірка цілісності даних порту... OK
Запис #101: Перевірка цілісності даних порту... OK
Запис #102: Перевірка цілісності даних порту... OK
Запис #103: Перевірка цілісності даних порту... OK
Запис #104: Перевірка цілісності даних порту... OK
Запис #105: Перевірка цілісності даних порту... OK
Запис #106: Перевірка цілісності даних порту... OK
Запис #107: Перевірка цілісності даних порту... OK
Запис #108: Перевірка цілісності даних порту... OK
Запис #109: Перевірка цілісності даних порту... OK
Запис #110: Перевірка цілісності даних порту... OK
